country,sex,suicide_rate
Austria,female,10.446230342997046
Austria,male,31.374961623567398
Belarus,female,9.467775556924007
Belarus,male,54.38803340295198
Belgium,female,11.601107997272619
Belgium,male,30.227316730570895
Croatia,female,9.799985338802683
Croatia,male,31.24049003731823
Estonia,female,9.562435184983695
Estonia,male,45.043710605218664
Finland,female,10.520495470288054
Finland,male,37.642841358696344
France,female,10.37609505419778
France,male,29.630971826331354
Guyana,female,9.771251187212991
Guyana,male,31.71556392656193
Hungary,female,13.859000252805304
Hungary,male,47.293859534727325
Japan,female,13.350576663602967
Japan,male,30.913063997118932
Kazakhstan,female,9.253134096643523
Kazakhstan,male,46.00453565020765
Latvia,female,10.162973174926787
Latvia,male,50.20144451048473
Lithuania,female,13.686921890749794
Lithuania,male,73.16604020548257
Mongolia,female,4.644636204403294
Mongolia,male,35.400155340843384
Republic of Korea,female,12.204017437863541
Republic of Korea,male,26.41830824646662
Russian Federation,female,10.820861949150215
Russian Federation,male,58.208108421922496
Serbia,female,10.413012598174745
Serbia,male,28.460978627220257
Slovenia,female,11.196394041281037
Slovenia,male,42.17992424357742
Sri Lanka,female,14.866677347467267
Sri Lanka,male,46.170999468434445
Ukraine,female,8.832871286201408
Ukraine,male,43.707486766265404
